,first_downs,fourth_down_attempts,fourth_down_conversions,fumbles,fumbles_lost,interceptions,net_pass_yards,pass_attempts,pass_completions,pass_touchdowns,pass_yards,penalties,points,rush_attempts,rush_touchdowns,rush_yards,third_down_attempts,third_down_conversions,time_of_possession,times_sacked,total_yards,turnovers,yards_from_penalties,yards_lost_from_sacks,win,tie,loss
196609180phi,-1.5654015387476783,,,0.028241285739650363,-0.4907384297966384,0.9675679600402033,-0.7459625696365333,-0.8512622794089578,-0.7930570785765768,0.292003345307018,-0.5482639274297114,-0.1946043900427777,-0.5694339555788881,-1.4182765034315152,-0.42952619127314684,-0.8242515041484723,,,,1.3273346841186529,-0.8974338704730938,0.4249777381878448,-1.2375532578907933,1.1501609392793064,0.0,0.0,1.0
196609250det,-0.6671775148321516,,,-1.5167146319700007,-1.9089189000245208,-0.13164125500104584,-0.09180175879099753,-0.3025360131481524,-0.5049596887194362,-0.09302004884357935,-0.07205276282277372,-0.6096317116936052,-0.4210984652116282,-1.121424041187329,-0.42952619127314684,-0.5694526935275703,,,,0.1846733876107605,-0.35218711988479434,-1.1660848077536343,-0.7945709891313657,0.11103160823571491,0.0,0.0,1.0
196610020atl,-1.5654015387476783,,,0.33723246928158057,0.45471521702194995,0.356896173906176,-1.8022482079282425,-0.9373369878420253,-1.0043284978051465,-2.6598426765142285,-1.7292128787394447,-1.2091156207448004,-2.329681774603705,-1.1956371567483757,-1.150214837277227,-0.9282510186876158,,,,-0.19621371122520373,-1.6190576487558017,0.5133701018512602,-1.3808710507247257,0.08368609952404144,0.0,0.0,1.0
196610090was,-0.8090023607135505,,,-0.12625430603131474,-0.01801160638734422,-0.4980443266814622,-1.3130435322850984,-1.0933473968769603,-1.398061597276572,-1.4406019283706701,-1.2564227713495109,-1.0246590333444328,-1.0737746228275717,-0.812202726349635,0.002886996329301177,-0.2522541741831822,,,,0.07040725795997124,-0.9605535682012959,-0.3705535347828949,-1.0421199040263398,0.08368609952404144,0.0,0.0,1.0
196610160atl,-0.8468223196152569,,,-0.15715342438550764,0.4074425346810205,-0.4614040195134205,-0.8300689596023879,-1.3322047127787227,-1.3231562759137152,-1.325094910125491,-0.8713485710035561,-0.651134443858688,-0.6821689282580056,-0.7379896107885884,0.6082654589727283,-0.5070529848040841,,,,-0.7523088755257112,-0.7867729536049265,-0.10537644379264831,-0.8128114354920482,-0.4604895238382604,0.0,0.0,1.0
196610230gnb,-0.8090023607135505,,,-0.28074989780228,-0.8058896454028344,0.6011648883597869,-1.0149897429279873,-0.49620410712255436,-0.8698830492051475,-1.119749099911839,-0.9410012959417549,-0.10237609634259376,-1.1627759170479275,-1.2533584688514119,-0.1412507328715148,-0.701185411943819,,,,-0.04385887169081801,-1.0039763389788536,-0.016984080129232873,-0.2473575983108963,0.2659894909351978,0.0,0.0,1.0
196610300atl,-1.412320752716962,,,-0.38374695898292327,-0.4907384297966384,0.9326724294039729,-1.0696042818668539,-0.8297436023006911,-1.0427414831194317,-1.8164580988510148,-0.9499937891978791,-0.6228071822222029,-1.7970867282374483,-1.2604263846191304,-1.1296237331056818,-1.2543637821353593,,,,0.4023231583741688,-1.3242432551114132,0.3997227771411546,-0.8553724770003069,0.5576749171930482,0.0,0.0,1.0
196611130atl,-1.0335583666924322,,,-0.2035021019167973,-0.3725567239443148,-0.04004048708094177,-1.580654773085545,-0.9319573185649587,-1.2540129023480018,-1.921881171058917,-1.3785545139965487,-0.3329468305930535,-1.5039475448926254,-0.9729978100652359,0.002886996329301177,-0.6929521170428034,,,,0.6988709710393121,-1.3574018805137158,-0.2379649892877716,-0.3320453849854927,0.992924264187184,0.0,0.0,1.0
196611200nyg,0.8823902457238735,,,0.9895471900923223,1.0850176482343425,1.2932595793116846,0.1479628096862982,0.7267740418639468,0.5898103927376978,-0.5636041972498651,0.3393863851422244,0.7891640760925168,-0.14750189408979322,0.8685869094125865,0.9157592812678026,0.9495179938246998,,,,1.225764791095729,0.5840137868450881,1.544614344591108,0.6067585408004185,1.3081572118356417,1.0,0.0,0.0
196611270chi,-0.487532710049046,,,-0.2807498978022798,-0.20710233575106185,0.014919973671120485,-0.5055372326634338,-0.5930381541097552,-0.48191189753086483,-0.24702940650381827,-0.41853743776092484,-1.0523275214544878,-0.6940357674873864,-1.0274207614766702,-0.42952619127314684,-0.7316919362086344,,,,0.3217927431917076,-0.69759959341019,-0.10537644379264831,-0.8779558867801991,0.4665232214874701,0.0,0.0,1.0
196612040min,0.2998100707228411,,,0.7024038680129523,1.056367537724688,1.700374103401036,0.12908370980619638,0.6746075519045118,0.3279036746857521,0.01198633137931091,0.31085684132042235,0.6102970822497363,-0.375249313643566,0.06598580778941603,-0.19366445258090248,0.1552348327838262,,,,1.0780267648805673,0.1618050028148789,1.8231842179545996,0.16956688993327101,1.2396553314266012,1.0,0.0,0.0
196612110atl,0.6092460981004386,,,0.955214836365441,0.5335030209234991,1.3339710317206195,0.4264295329178038,0.8271945350358586,0.7146525950091254,-0.15719061453534552,0.605316566143991,0.7737926938091529,-0.3024300729178203,0.42468253300114106,0.4353001839317492,0.45667584992531374,,,,1.1749798445842674,0.5055245173296407,1.2647051929902922,0.6516358294655896,1.2868884828376737,1.0,0.0,0.0
196612180atl,-0.7144524634592845,,,-0.7798895019853977,-0.5634656333980684,-0.38530492001056477,-0.8969227567547339,-0.9605109478047742,-0.8728378942293233,-0.8334496529793435,-1.0421593262660842,-0.7692576046362314,-1.030415017950988,-0.6647279454270425,-0.3630010854881548,-0.32025385676646834,,,,-1.4502112366236088,-0.7325581952288864,-0.5949341502361803,-0.8947932218823675,-1.1678967992025515,0.0,0.0,1.0
196609160ram,-1.376301744239146,,,0.028241285739650363,-0.4907384297966384,0.2347618166793705,-2.1137533559499264,-1.3677105300073629,-1.484490814233714,-1.2480902312953714,-2.1821608542707565,-0.7479741522438811,-1.5781152900762552,-0.8740469893171738,-0.42952619127314684,-0.6890521352475855,,,,-1.415052427500289,-1.692473467390023,-0.10537644379264831,-0.9509176722229283,-0.9280977228078766,0.0,0.0,1.0
196610020min,-0.05260318267942285,,,0.8522177751847977,1.7153200794467345,0.9675679600402033,-0.12295227359316582,1.0423813061185276,0.4745714367948417,-0.9914079685283065,-0.33752680286227355,1.2810483091601645,-0.628768151725792,0.577231714987737,0.14702472553011725,0.18801043736585937,,,,-1.872116946103446,0.019368547593275148,1.662470829475662,-0.11706869573459396,-1.4567775579002302,1.0,0.0,0.0
196610090chi,0.19952987666528646,,,2.2941766317138046,1.7153200794467343,-0.009506897774240517,0.04129589536372203,1.3006054314177298,0.5898103927376979,-1.5047724940624365,-0.036473767765933474,1.1888200154599806,-0.8463268709311066,0.8246087668578918,0.4353001839317492,0.5312088353450334,,,,-0.8056330693627464,0.3004974140706574,0.9553319201683377,0.2043105972869515,-0.508799922562217,1.0,0.0,0.0
196610160chi,-0.9271897322813829,,,-0.34254813451066596,-1.0580106178877913,0.12484089517524556,-1.42985796279323,-0.6898722010969562,-1.1906314765794308,-1.5176066072007897,-1.5676021358081822,-0.11159892571261223,-1.0678412032128812,-0.6662502657462432,-0.08359564119118841,-0.28397402611762096,,,,-1.4836121052907625,-1.0508013062297041,-0.5031420802780181,-0.463637176587558,-1.2371019712497866,0.0,0.0,1.0
